,Input ordering,Input size,Run number,Sorting algorithm,Time
0,Sorted,10,1,Merge sort,0.4449755
1,Sorted,10,2,Merge sort,0.5213266
2,Sorted,10,3,Merge sort,0.5662203
3,Sorted,10,4,Merge sort,0.4555609
4,Sorted,10,5,Merge sort,0.4150658
5,Sorted,10,6,Merge sort,0.4342754
6,Sorted,10,7,Merge sort,0.4119654
7,Sorted,10,1,Heapsort,0.1921432
8,Sorted,10,2,Heapsort,0.1958655
9,Sorted,10,3,Heapsort,0.1953268
10,Sorted,10,4,Heapsort,0.201502
11,Sorted,10,5,Heapsort,0.1786022
12,Sorted,10,6,Heapsort,0.2415853
13,Sorted,10,7,Heapsort,0.2376613
14,Sorted,10,1,Quicksort,0.2355071
15,Sorted,10,2,Quicksort,0.2563821
16,Sorted,10,3,Quicksort,0.2615499
17,Sorted,10,4,Quicksort,0.2756887
18,Sorted,10,5,Quicksort,0.2886458
19,Sorted,10,6,Quicksort,0.2382553
20,Sorted,10,7,Quicksort,0.272446
21,Sorted,10,1,Built-in Python,0.2130829
22,Sorted,10,2,Built-in Python,0.2958134
23,Sorted,10,3,Built-in Python,0.2642596
24,Sorted,10,4,Built-in Python,0.1859149
25,Sorted,10,5,Built-in Python,0.1861179
26,Sorted,10,6,Built-in Python,0.1895251
27,Sorted,10,7,Built-in Python,0.2464269
28,Sorted,10,1,Numpy,0.1509911
29,Sorted,10,2,Numpy,0.2635169
30,Sorted,10,3,Numpy,0.1687372
31,Sorted,10,4,Numpy,0.1741537
32,Sorted,10,5,Numpy,0.2456694
33,Sorted,10,6,Numpy,0.1525415
34,Sorted,10,7,Numpy,0.1821862
35,Sorted,100,1,Merge sort,0.4432119
36,Sorted,100,2,Merge sort,0.2682758
37,Sorted,100,3,Merge sort,0.3224261
38,Sorted,100,4,Merge sort,0.2953935
39,Sorted,100,5,Merge sort,0.2924027
40,Sorted,100,6,Merge sort,0.2869778
41,Sorted,100,7,Merge sort,0.2932017
42,Sorted,100,1,Heapsort,0.3376844
43,Sorted,100,2,Heapsort,0.4545633
44,Sorted,100,3,Heapsort,0.5870505
45,Sorted,100,4,Heapsort,0.4263686
46,Sorted,100,5,Heapsort,0.3269567
47,Sorted,100,6,Heapsort,1.7262435
48,Sorted,100,7,Heapsort,0.5091275
49,Sorted,100,1,Quicksort,0.3106725
50,Sorted,100,2,Quicksort,0.4431699
51,Sorted,100,3,Quicksort,0.4051784
52,Sorted,100,4,Quicksort,0.3310296
53,Sorted,100,5,Quicksort,1.0184681
54,Sorted,100,6,Quicksort,0.3141917
55,Sorted,100,7,Quicksort,0.3373674
56,Sorted,100,1,Built-in Python,0.2281975
57,Sorted,100,2,Built-in Python,0.2134525
58,Sorted,100,3,Built-in Python,0.2194887
59,Sorted,100,4,Built-in Python,0.2142963
60,Sorted,100,5,Built-in Python,0.2194519
61,Sorted,100,6,Built-in Python,0.2140555
62,Sorted,100,7,Built-in Python,0.2146516
63,Sorted,100,1,Numpy,0.2121042
64,Sorted,100,2,Numpy,0.2035161
65,Sorted,100,3,Numpy,0.2296659
66,Sorted,100,4,Numpy,0.2020155
67,Sorted,100,5,Numpy,0.196702
68,Sorted,100,6,Numpy,0.2135187
69,Sorted,100,7,Numpy,0.2178649
70,Sorted,1000,1,Merge sort,0.3670448
71,Sorted,1000,2,Merge sort,0.3947061
72,Sorted,1000,3,Merge sort,0.3830425
73,Sorted,1000,4,Merge sort,0.3889008
